brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Airbnb,2018-08-13,0.06,0.653,0.287,17.29,82.71,65.41999999999999
Airbnb,2018-08-16,0.084,0.661,0.255,24.78,75.22,50.44
Airbnb,2019-05-02,0.155,0.845,0.0,100.0,0.0,-100.0
Airbnb,2019-07-01,0.027,0.885,0.089,23.28,76.72,53.44
Airbnb,2019-07-02,0.025,0.874,0.102,19.69,80.31,60.620000000000005
Airbnb,2019-07-03,0.034,0.856,0.11,23.61,76.39,52.78
Airbnb,2019-07-04,0.029,0.842,0.129,18.35,81.65,63.3
Airbnb,2019-07-05,0.023,0.856,0.121,15.97,84.03,68.06
Airbnb,2019-07-06,0.025,0.85,0.125,16.67,83.33,66.66
Airbnb,2019-07-07,0.024,0.858,0.118,16.9,83.1,66.19999999999999
Airbnb,2019-07-08,0.019,0.87,0.111,14.62,85.38,70.75999999999999
Airbnb,2019-07-09,0.035,0.838,0.127,21.6,78.4,56.8
Airbnb,2019-07-10,0.023,0.85,0.126,15.44,84.56,69.12
Airbnb,2019-07-11,0.028,0.856,0.116,19.44,80.56,61.120000000000005
Airbnb,2019-07-12,0.023,0.877,0.1,18.7,81.3,62.6
Airbnb,2019-07-13,0.022,0.85,0.129,14.57,85.43,70.86000000000001
Airbnb,2019-07-14,0.023,0.838,0.14,14.11,85.89,71.78
Airbnb,2019-07-15,0.026,0.849,0.125,17.22,82.78,65.56
Airbnb,2019-07-16,0.015,0.869,0.116,11.45,88.55,77.1
Airbnb,2019-07-17,0.027,0.854,0.119,18.49,81.51,63.02000000000001
Airbnb,2019-07-18,0.02,0.865,0.114,14.93,85.07,70.13999999999999
Airbnb,2019-07-19,0.03,0.852,0.118,20.27,79.73,59.46000000000001
Airbnb,2019-07-20,0.03,0.873,0.098,23.44,76.56,53.120000000000005
Airbnb,2019-07-21,0.019,0.863,0.117,13.97,86.03,72.06
Airbnb,2019-07-22,0.025,0.859,0.116,17.73,82.27,64.53999999999999
Airbnb,2019-07-23,0.023,0.857,0.12,16.08,83.92,67.84
Airbnb,2019-07-24,0.017,0.875,0.108,13.6,86.4,72.80000000000001
Airbnb,2019-07-25,0.018,0.865,0.117,13.33,86.67,73.34
Airbnb,2019-07-26,0.025,0.85,0.125,16.67,83.33,66.66
Airbnb,2019-07-27,0.028,0.855,0.117,19.31,80.69,61.38
Airbnb,2019-07-28,0.035,0.836,0.128,21.47,78.53,57.06
Airbnb,2019-07-29,0.026,0.871,0.102,20.31,79.69,59.38
Airbnb,2019-07-30,0.031,0.858,0.111,21.83,78.17,56.34
Airbnb,2019-07-31,0.021,0.842,0.137,13.29,86.71,73.41999999999999
Airbnb,2019-08-07,0.0,0.782,0.218,0.0,100.0,100.0
Airbnb,2020-02-06,0.0,0.649,0.351,0.0,100.0,100.0
Airbnb,2020-11-12,0.0,0.85,0.15,0.0,100.0,100.0
Airbnb,2020-11-17,0.0,0.942,0.058,0.0,100.0,100.0
